0,99,407,375,361
0,33,302,322,337
1,10,294,305,291
0,98,283,301,302
0,59,369,338,341
1,22,277,262,276
0,98,271,276,270
0,99,287,287,246
1,64,307,289,308
0,97,310,297,275
0,48,301,294,298
0,92,292,301,291
1,87,267,284,233
1,64,332,290,278
1,45,320,339,330
0,94,300,281,259
0,19,282,252,260
1,97,285,297,225
1,96,258,270,211
0,98,304,272,294
1,100,274,247,167
0,42,276,255,263
0,97,300,281,289
0,81,270,261,241
0,100,332,291,275
1,8,270,287,263
0,92,308,342,307
1,9,272,313,292
1,87,362,335,342
1,13,278,256,259
0,96,294,280,253
1,64,255,286,299
0,4,277,266,263
0,81,284,271,273
1,71,321,335,272
1,17,255,261,252
0,95,286,272,268
0,100,276,279,281
0,84,279,273,248
0,41,283,290,284
1,58,290,250,217
1,92,359,334,279
0,94,309,270,274
1,95,260,257,179
1,4,285,246,266
1,33,352,335,336
1,2,306,307,301
0,92,298,284,280
1,96,291,272,248
0,81,273,287,291
0,92,287,270,290
1,98,299,272,174
1,34,272,240,247
1,100,298,287,245
0,81,281,291,274
0,84,291,272,273
0,96,259,255,229
1,31,288,295,289
1,98,351,355,274
0,63,293,299,299
1,94,265,257,220
0,85,287,286,280
1,76,272,278,210
0,33,363,381,406
0,36,277,282,290
0,93,283,267,246
1,9,289,292,274
0,59,321,297,303
1,24,329,315,319
0,40,313,278,301
1,95,322,294,225
1,50,280,290,233
1,51,272,265,224
1,15,253,249,247
0,96,317,292,284
