"outcome","rv0","apply","Z","D"
0,0.0800720000000001,1,1,1
0,0.353638,1,1,1
1,-0.612562,1,0,0
0,0.557922,1,1,1
0,0.396274,1,1,1
0,-0.554216,1,0,0
0,0.94872,1,1,1
0,-0.142276,1,0,0
1,0.000161999999999898,1,1,1
0,0.450168,1,1,1
0,0.711498,1,1,1
1,0.0696560000000001,1,1,1
0,0.11839,1,1,1
1,-0.140706,1,0,0
0,0.831172,1,1,1
0,-0.233312,1,0,0
0,0.741008,1,1,1
0,-0.639618,1,0,0
0,0.7534,1,1,1
0,0.480196,1,1,1
0,-0.781438,1,0,0
0,-0.577074,1,0,0
0,-0.577074,1,0,0
0,0.033752,1,1,1
1,-0.1582,1,0,0
0,0.595848,1,1,1
0,0.394,1,1,1
0,0.517376,1,1,1
0,-0.00573400000000001,1,0,0
0,0.627678,1,1,1
0,0.963496,1,1,1
0,0.582674,1,1,1
1,0.698618,1,1,1
1,0.388456,1,1,1
1,0.683334,1,1,1
0,-0.531354,1,0,0
0,-0.96546,1,0,0
0,0.0592419999999998,1,1,1
0,-0.534878,1,0,0
1,0.705404,1,1,1
0,0.363122,1,1,1
0,0.727006,1,1,1
0,0.64813,1,1,1
0,0.938258,1,1,1
1,-0.081148,1,0,0
1,0.0264860000000001,1,1,1
0,0.0813240000000002,1,1,1
0,0.885508,1,1,1
0,-0.394412,1,0,0
0,-0.186858,1,0,0
0,0.673894,1,1,1
0,0.619328,1,1,1
0,0.993496,1,1,1
1,0.85343,1,1,1
0,0.0100400000000001,1,1,1
0,0.722114,1,1,1
0,0.138692,1,1,1
0,0.67057,1,1,1
0,0.4502,1,1,1
0,-0.244154,1,0,0
0,0.403808,1,1,1
1,0.820954,1,1,1
0,0.80553,1,1,1
0,0.532136,1,1,1
0,-0.357254,1,0,0
0,0.670862,1,1,1
1,-0.063432,1,0,0
1,-0.635212,1,0,0
0,-0.142802,1,0,0
0,-0.437772,1,0,0
0,0.923414,1,1,1
0,-0.38349,1,0,0
0,0.141862,1,1,1
0,0.707432,1,1,1
0,0.157404,1,1,1
0,0.736816,1,1,1
0,0.448456,1,1,1
1,-0.305744,1,0,0
0,-0.0624380000000001,1,0,0
0,-0.120382,1,0,0
1,-0.222114,1,0,0
0,0.228206,1,1,1
1,-0.61954,1,0,0
0,0.876912,1,1,1
0,0.320518,1,1,1
0,0.293584,1,1,1
0,-0.13878,1,0,0
0,0.848874,1,1,1
0,0.00870999999999986,1,1,1
1,0.926178,1,1,1
0,0.915796,1,1,1
0,0.119538,1,1,1
0,0.0519540000000001,1,1,1
0,0.0818040000000001,1,1,1
0,0.355138,1,1,1
0,0.97756,1,1,1
0,0.199168,1,1,1
0,0.710244,1,1,1
1,0.62947,1,1,1
0,-0.747188,1,0,0
0,0.029016,1,1,1
0,0.199168,1,1,1
0,0.168992,1,1,1
0,0.168824,1,1,1
0,-0.0174439999999999,1,0,0
0,-0.627492,1,0,0
0,-0.733922,1,0,0
0,0.260468,1,1,1
0,0.298804,1,1,1
0,0.742972,1,1,1
0,0.178194,1,1,1
0,0.47423,1,1,1
0,0.656146,1,1,1
0,-0.0776419999999998,1,0,0
0,0.923628,1,1,1
0,-0.134716,1,0,0
0,0.619398,1,1,1
0,0.845792,1,1,1
0,-0.12553,1,0,0
0,-0.708888,1,0,0
0,-0.255878,1,0,0
1,-0.177208,1,0,0
0,0.0990139999999999,1,1,1
0,-0.530888,1,0,0
0,0.0549419999999998,1,1,1
0,0.0942400000000001,1,1,1
0,0.675442,1,1,1
0,0.521388,1,1,1
0,-0.238822,1,0,0
0,0.490406,1,1,1
0,0.284552,1,1,1
0,-0.549136,1,0,0
0,0.258234,1,1,1
0,0.416332,1,1,1
0,0.41317,1,1,1
0,0.71233,1,1,1
0,0.685864,1,1,1
0,0.647058,1,1,1
0,0.478618,1,1,1
1,0.813972,1,1,1
0,-0.195366,1,0,0
0,0.75006,1,1,1
0,0.186804,1,1,1
0,0.88902,1,1,1
0,0.808496,1,1,1
0,0.485572,1,1,1
0,0.514518,1,1,1
0,-0.54598,1,0,0
0,0.314706,1,1,1
1,-0.24696,1,0,0
0,0.735756,1,1,1
0,0.518236,1,1,1
0,0.679468,1,1,1
0,0.85033,1,1,1
0,0.602038,1,1,1
0,0.290388,1,1,1
1,-0.0264439999999999,1,0,0
1,-0.24722,1,0,0
0,0.9413,1,1,1
0,0.0194700000000001,1,1,1
0,0.623638,1,1,1
1,-0.902428,1,0,0
1,0.555946,1,1,1
0,0.345878,1,1,1
1,0.904864,1,1,1
0,-0.35028,1,0,0
0,0.67221,1,1,1
0,0.130618,1,1,1
0,-0.491186,1,0,0
1,0.70754,1,1,1
0,-0.230318,1,0,0
1,0.471282,1,1,1
0,0.567622,1,1,1
0,-0.166586,1,0,0
1,-0.624796,1,0,0
0,0.782678,1,1,1
1,0.62995,1,1,1
1,-0.24722,1,0,0
1,0.888186,1,1,1
0,0.267108,1,1,1
0,0.71496,1,1,1
0,0.706764,1,1,1
1,-0.212456,1,0,0
0,0.190078,1,1,1
0,-0.455618,1,0,0
0,0.019968,1,1,1
0,0.492732,1,1,1
0,0.98177,1,1,1
0,0.340574,1,1,1
1,0.8972,1,1,1
0,0.364648,1,1,1
0,0.28815,1,1,1
0,0.737882,1,1,1
0,0.996548,1,1,1
0,-0.872292,1,0,0
1,-0.823922,1,0,0
0,0.48348,1,1,1
0,-0.0954700000000001,1,0,0
0,0.798672,1,1,1
0,-0.312016,1,0,0
1,-0.361534,1,0,0
0,-0.0898639999999999,1,0,0
0,0.553264,1,1,1
0,0.476372,1,1,1
1,0.307134,1,1,1
0,0.66496,1,1,1
0,0.52145,1,1,1
0,0.529288,1,1,1
0,0.529288,1,1,1
0,0.0138759999999998,1,1,1
0,-0.125122,1,0,0
0,0.576802,1,1,1
0,0.534308,1,1,1
0,0.323258,1,1,1
0,-0.287448,1,0,0
1,-0.182646,1,0,0
0,0.317402,1,1,1
0,0.0592599999999999,1,1,1
0,0.274612,1,1,1
0,0.86285,1,1,1
0,0.476306,1,1,1
0,0.681074,1,1,1
0,-0.248508,1,0,0
0,0.059118,1,1,1
0,-0.456684,1,0,0
1,0.326504,1,1,1
0,0.181656,1,1,1
0,-0.0204919999999998,1,0,0
0,-0.283568,1,0,0
0,0.933864,1,1,1
0,-0.988918,1,0,0
0,-0.0741880000000001,1,0,0
1,0.975568,1,1,1
0,0.19304,1,1,1
0,0.204342,1,1,1
0,-0.2875,1,0,0
1,0.24074,1,1,1
1,0.829106,1,1,1
0,0.837082,1,1,1
1,0.225096,1,1,1
0,0.223866,1,1,1
0,0.695668,1,1,1
0,0.792326,1,1,1
0,0.860488,1,1,1
0,0.85083,1,1,1
0,0.955068,1,1,1
0,0.529492,1,1,1
0,-0.187006,1,0,0
1,-0.180982,1,0,0
0,0.466878,1,1,1
0,-0.79834,1,0,0
1,0.887602,1,1,1
1,0.81233,1,1,1
0,0.542254,1,1,1
0,-0.554778,1,0,0
0,0.107198,1,1,1
1,0.708822,1,1,1
1,0.220986,1,1,1
0,0.0170560000000001,1,1,1
0,0.17587,1,1,1
0,0.54421,1,1,1
0,-0.264714,1,0,0
0,0.675854,1,1,1
1,-0.7272,1,0,0
0,-0.193482,1,0,0
0,0.259366,1,1,1
0,0.798456,1,1,1
0,0.463972,1,1,1
0,0.940784,1,1,1
0,0.860882,1,1,1
0,0.921522,1,1,1
0,-0.254024,1,0,0
0,-0.20973,1,0,0
1,0.649734,1,1,1
0,-0.517834,1,0,0
0,0.598686,1,1,1
0,0.304968,1,1,1
0,-0.445574,1,0,0
0,0.756742,1,1,1
0,0.699272,1,1,1
1,0.905404,1,1,1
0,-0.683254,1,0,0
0,0.474842,1,1,1
1,0.378922,1,1,1
0,0.373122,1,1,1
0,0.917016,1,1,1
0,-0.65878,1,0,0
1,-0.590766,1,0,0
1,0.617792,1,1,1
1,0.325642,1,1,1
0,0.500304,1,1,1
1,0.34226,1,1,1
0,-0.0328419999999998,1,0,0
1,-0.593758,1,0,0
0,0.66496,1,1,1
0,0.932374,1,1,1
0,0.248536,1,1,1
1,0.0996419999999998,1,1,1
0,-0.0244599999999999,1,0,0
0,0.494066,1,1,1
0,0.540752,1,1,1
1,-0.731274,1,0,0
0,0.863236,1,1,1
0,-0.128196,1,0,0
0,-0.188526,1,0,0
0,0.74535,1,1,1
0,-0.373118,1,0,0
0,0.0971400000000001,1,1,1
1,0.987886,1,1,1
0,-0.609528,1,0,0
0,-0.5855,1,0,0
1,-0.166378,1,0,0
0,0.880344,1,1,1
0,0.877154,1,1,1
0,0.0801580000000002,1,1,1
0,0.26649,1,1,1
1,-0.0042,1,0,0
0,0.0295080000000002,1,1,1
1,0.879462,1,1,1
0,0.891328,1,1,1
0,0.469268,1,1,1
0,0.753528,1,1,1
0,0.616936,1,1,1
0,0.24525,1,1,1
0,0.46271,1,1,1
0,-0.927256,1,0,0
0,0.77871,1,1,1
0,0.567838,1,1,1
0,0.383196,1,1,1
1,0.109034,1,1,1
0,0.95547,1,1,1
0,-0.629204,1,0,0
1,0.0676439999999999,1,1,1
0,-0.210824,1,0,0
0,0.550162,1,1,1
0,-0.30019,1,0,0
1,0.0632,1,1,1
0,0.172432,1,1,1
0,0.678718,1,1,1
1,0.758536,1,1,1
0,0.205962,1,1,1
0,0.955026,1,1,1
0,-0.621118,1,0,0
0,0.77007,1,1,1
1,-0.910898,1,0,0
0,0.729378,1,1,1
0,0.417198,1,1,1
0,0.772274,1,1,1
0,0.395772,1,1,1
0,-0.602282,1,0,0
1,0.678882,1,1,1
0,0.0349040000000001,1,1,1
1,-0.413856,1,0,0
0,-0.14516,1,0,0
0,0.0550400000000001,1,1,1
1,-0.731452,1,0,0
1,0.152032,1,1,1
0,0.49172,1,1,1
0,0.746596,1,1,1
0,-0.248572,1,0,0
0,0.646506,1,1,1
0,0.7752,1,1,1
0,-0.308704,1,0,0
1,0.756298,1,1,1
0,-0.533404,1,0,0
1,-0.928418,1,0,0
0,0.304556,1,1,1
0,0.465718,1,1,1
0,0.983786,1,1,1
0,0.22624,1,1,1
0,0.905882,1,1,1
0,-0.83344,1,0,0
1,0.454184,1,1,1
0,0.359084,1,1,1
0,0.0816720000000001,1,1,1
0,0.432648,1,1,1
1,0.175196,1,1,1
0,-0.107814,1,0,0
0,-0.234326,1,0,0
0,-0.788134,1,0,0
0,0.713124,1,1,1
0,0.4946,1,1,1
0,0.496504,1,1,1
0,-0.192154,1,0,0
0,-0.00907400000000016,1,0,0
1,-0.365574,1,0,0
0,0.162676,1,1,1
1,-0.343112,1,0,0
0,0.864076,1,1,1
0,0.110102,1,1,1
0,0.43243,1,1,1
1,0.10278,1,1,1
0,0.379314,1,1,1
0,0.381024,1,1,1
0,-0.788962,1,0,0
0,-0.659004,1,0,0
0,0.275052,1,1,1
0,0.049898,1,1,1
1,0.662598,1,1,1
1,0.447318,1,1,1
0,0.945366,1,1,1
0,0.899686,1,1,1
0,-0.5163,1,0,0
0,-0.935396,1,0,0
0,-0.766054,1,0,0
0,0.749062,1,1,1
1,-0.408634,1,0,0
0,-0.233708,1,0,0
0,-0.213232,1,0,0
0,0.115168,1,1,1
0,0.60449,1,1,1
0,0.193674,1,1,1
0,0.586602,1,1,1
0,0.296874,1,1,1
0,0.27953,1,1,1
0,-0.391986,1,0,0
0,0.988808,1,1,1
0,0.642544,1,1,1
0,0.768026,1,1,1
0,0.794756,1,1,1
0,0.000813999999999942,1,1,1
0,0.386988,1,1,1
0,-0.19787,1,0,0
1,0.557268,1,1,1
0,-0.678778,1,0,0
0,0.610414,1,1,1
0,0.956178,1,1,1
0,0.581138,1,1,1
1,0.960202,1,1,1
0,0.357062,1,1,1
0,0.41656,1,1,1
0,0.874124,1,1,1
0,-0.898598,1,0,0
1,0.1093,1,1,1
1,-0.314422,1,0,0
0,0.80634,1,1,1
0,-0.031732,1,0,0
0,-0.318456,1,0,0
0,0.115918,1,1,1
0,-0.110732,1,0,0
0,-0.031732,1,0,0
1,0.835692,1,1,1
1,0.353136,1,1,1
0,-0.836086,1,0,0
0,0.897624,1,1,1
0,0.228674,1,1,1
0,0.147548,1,1,1
0,0.796624,1,1,1
0,-0.936314,1,0,0
0,0.943646,1,1,1
0,0.930766,1,1,1
0,0.885606,1,1,1
0,0.453236,1,1,1
0,0.597796,1,1,1
0,0.6478,1,1,1
0,0.263212,1,1,1
0,0.345854,1,1,1
1,-0.935882,1,0,0
0,0.314382,1,1,1
0,0.654904,1,1,1
0,0.149732,1,1,1
1,0.447896,1,1,1
0,0.51194,1,1,1
1,0.062032,1,1,1
1,-0.968836,1,0,0
0,0.884146,1,1,1
1,-0.00647000000000007,1,0,0
0,0.212352,1,1,1
0,0.279642,1,1,1
0,0.698086,1,1,1
0,-0.0446860000000001,1,0,0
0,0.5331,1,1,1
1,0.710752,1,1,1
0,0.276974,1,1,1
0,0.340662,1,1,1
0,0.165174,1,1,1
1,0.920808,1,1,1
1,0.128192,1,1,1
0,0.567642,1,1,1
0,0.655082,1,1,1
0,-0.0768759999999998,1,0,0
1,-0.382044,1,0,0
0,-0.892608,1,0,0
0,0.347882,1,1,1
0,0.556616,1,1,1
0,0.714504,1,1,1
0,0.562888,1,1,1
0,-0.696286,1,0,0
0,0.595456,1,1,1
0,0.349064,1,1,1
0,0.97151,1,1,1
0,-0.408334,1,0,0
1,0.54905,1,1,1
0,0.570252,1,1,1
0,0.285456,1,1,1
0,0.160162,1,1,1
1,-0.984122,1,0,0
1,-0.0333,1,0,0
0,-0.395732,1,0,0
0,0.677446,1,1,1
0,0.317844,1,1,1
0,0.704832,1,1,1
0,-0.846374,1,0,0
1,0.55304,1,1,1
1,-0.867666,1,0,0
0,0.365504,1,1,1
0,-0.75855,1,0,0
0,0.703194,1,1,1
0,0.55304,1,1,1
0,0.652098,1,1,1
0,0.606862,1,1,1
0,0.855382,1,1,1
0,0.779448,1,1,1
0,-0.498546,1,0,0
0,-0.9593,1,0,0
0,-0.697902,1,0,0
0,0.490422,1,1,1
0,0.8373,1,1,1
0,0.120418,1,1,1
0,-0.477414,1,0,0
0,0.86338,1,1,1
0,0.227606,1,1,1
1,0.425606,1,1,1
1,0.866504,1,1,1
0,0.906186,1,1,1
0,0.228918,1,1,1
0,-0.654286,1,0,0
0,0.019902,1,1,1
0,-0.181298,1,0,0
0,0.54641,1,1,1
0,0.568236,1,1,1
0,-0.168524,1,0,0
0,0.983254,1,1,1
0,0.544716,1,1,1
1,0.0167560000000001,1,1,1
1,0.24051,1,1,1
0,-0.157042,1,0,0
0,-0.036766,1,0,0
0,0.0136740000000002,1,1,1
0,-0.187062,1,0,0
0,0.830642,1,1,1
0,0.35104,1,1,1
0,-0.217786,1,0,0
0,0.756742,1,1,1
0,0.356628,1,1,1
0,-0.18699,1,0,0
0,0.461008,1,1,1
1,0.751058,1,1,1
0,0.867844,1,1,1
0,0.413146,1,1,1
0,0.52887,1,1,1
0,0.374722,1,1,1
0,0.758176,1,1,1
0,-0.797844,1,0,0
0,-0.303862,1,0,0
1,-0.161922,1,0,0
0,0.846078,1,1,1
1,-0.51768,1,0,0
0,-0.11605,1,0,0
0,-0.0424080000000002,1,0,0
0,-0.164634,1,0,0
0,0.633432,1,1,1
0,0.725856,1,1,1
0,0.191626,1,1,1
0,-0.298674,1,0,0
0,-0.031084,1,0,0
0,-0.332378,1,0,0
0,0.970342,1,1,1
0,-0.00661599999999999,1,0,0
0,0.132016,1,1,1
0,0.305392,1,1,1
0,0.318936,1,1,1
0,0.347772,1,1,1
0,0.021632,1,1,1
1,-0.127394,1,0,0
0,-0.953074,1,0,0
0,0.89722,1,1,1
0,0.2816,1,1,1
0,-0.769804,1,0,0
0,0.87683,1,1,1
0,-0.69797,1,0,0
0,0.625248,1,1,1
1,0.8437,1,1,1
0,-0.018402,1,0,0
0,0.40504,1,1,1
0,-0.33134,1,0,0
0,0.521428,1,1,1
0,0.938344,1,1,1
1,-0.394768,1,0,0
0,0.036702,1,1,1
1,-0.71698,1,0,0
0,0.15252,1,1,1
0,0.77661,1,1,1
0,0.478482,1,1,1
0,0.525204,1,1,1
1,0.153878,1,1,1
1,0.484472,1,1,1
0,-0.599674,1,0,0
0,0.531026,1,1,1
0,0.287948,1,1,1
0,-0.22813,1,0,0
0,-0.22813,1,0,0
0,0.301904,1,1,1
0,-0.513076,1,0,0
0,0.495474,1,1,1
0,-0.753094,1,0,0
0,0.35351,1,1,1
0,0.49974,1,1,1
0,0.655448,1,1,1
0,-0.302954,1,0,0
0,0.343308,1,1,1
0,0.420012,1,1,1
0,0.624718,1,1,1
0,-0.96521,1,0,0
1,0.321654,1,1,1
0,-0.335442,1,0,0
0,0.514686,1,1,1
0,0.245762,1,1,1
0,-0.279948,1,0,0
0,0.480748,1,1,1
0,-0.673308,1,0,0
1,0.923348,1,1,1
0,0.63397,1,1,1
0,0.270836,1,1,1
0,0.561768,1,1,1
0,-0.694294,1,0,0
1,0.865198,1,1,1
0,0.051816,1,1,1
0,0.469146,1,1,1
0,0.33034,1,1,1
0,-0.1121,1,0,0
0,-0.307602,1,0,0
0,-0.993014,1,0,0
1,-0.57622,1,0,0
0,0.101784,1,1,1
0,0.52404,1,1,1
0,-0.033934,1,0,0
0,0.987528,1,1,1
0,0.460286,1,1,1
0,0.497376,1,1,1
0,-0.594614,1,0,0
0,0.836992,1,1,1
1,0.0710040000000001,1,1,1
0,0.106146,1,1,1
0,-0.433264,1,0,0
1,0.307298,1,1,1
0,0.24728,1,1,1
0,-0.523432,1,0,0
0,0.749172,1,1,1
0,0.330904,1,1,1
0,-0.397972,1,0,0
0,-0.6083,1,0,0
0,0.421094,1,1,1
0,0.885574,1,1,1
0,0.0265779999999999,1,1,1
0,0.121912,1,1,1
0,-0.224048,1,0,0
0,0.235942,1,1,1
0,0.176358,1,1,1
0,-0.760482,1,0,0
0,-0.475584,1,0,0
0,-0.156178,1,0,0
0,0.0705639999999999,1,1,1
0,0.87083,1,1,1
0,-0.162732,1,0,0
0,0.519414,1,1,1
0,-0.118844,1,0,0
0,0.440294,1,1,1
1,0.537218,1,1,1
0,0.90696,1,1,1
0,-0.759452,1,0,0
0,0.592244,1,1,1
0,0.799252,1,1,1
0,0.574878,1,1,1
0,-0.0329299999999999,1,0,0
1,0.964078,1,1,1
0,0.58326,1,1,1
1,0.417484,1,1,1
0,-0.33894,1,0,0
0,0.1875,1,1,1
0,0.984422,1,1,1
0,0.0873040000000001,1,1,1
0,0.310744,1,1,1
0,0.754364,1,1,1
0,-0.902422,1,0,0
0,0.401976,1,1,1
0,-0.371358,1,0,0
0,0.565854,1,1,1
0,-0.504352,1,0,0
0,-0.876594,1,0,0
0,0.079484,1,1,1
0,0.737756,1,1,1
0,0.53812,1,1,1
0,0.802122,1,1,1
0,-0.643692,1,0,0
0,-0.672064,1,0,0
0,-0.250938,1,0,0
0,-0.139664,1,0,0
0,0.47257,1,1,1
0,0.0972299999999999,1,1,1
0,0.429764,1,1,1
0,0.418012,1,1,1
0,0.936392,1,1,1
0,0.36826,1,1,1
0,0.685124,1,1,1
1,0.206114,1,1,1
0,0.997154,1,1,1
0,0.0670900000000001,1,1,1
0,0.451518,1,1,1
0,0.714398,1,1,1
0,0.324804,1,1,1
0,0.0571720000000001,1,1,1
0,-0.654174,1,0,0
0,0.531886,1,1,1
1,0.961642,1,1,1
0,0.943878,1,1,1
0,0.675166,1,1,1
0,-0.315548,1,0,0
0,0.244422,1,1,1
0,-0.26197,1,0,0
0,0.736126,1,1,1
0,0.0772040000000001,1,1,1
0,-0.206606,1,0,0
0,-0.205594,1,0,0
0,-0.495934,1,0,0
0,0.751534,1,1,1
0,-0.486898,1,0,0
0,0.547022,1,1,1
0,-0.566554,1,0,0
1,0.408598,1,1,1
0,-0.305894,1,0,0
0,0.0631080000000002,1,1,1
1,-0.639992,1,0,0
0,-0.364296,1,0,0
0,0.436304,1,1,1
0,0.60228,1,1,1
0,0.110914,1,1,1
0,-0.879748,1,0,0
0,-0.292542,1,0,0
1,-0.309184,1,0,0
0,0.179614,1,1,1
1,-0.535382,1,0,0
1,0.119144,1,1,1
1,-0.022332,1,0,0
0,0.986248,1,1,1
1,-0.75836,1,0,0
0,0.497968,1,1,1
0,-0.158126,1,0,0
0,0.949248,1,1,1
0,0.155832,1,1,1
0,0.205024,1,1,1
0,0.622412,1,1,1
0,0.212916,1,1,1
0,0.922704,1,1,1
0,0.353118,1,1,1
0,0.417574,1,1,1
0,0.427898,1,1,1
0,0.161186,1,1,1
0,0.909594,1,1,1
0,0.74,1,1,1
0,0.869192,1,1,1
1,-0.121872,1,0,0
0,0.54145,1,1,1
0,0.466902,1,1,1
0,-0.25213,1,0,0
0,0.067882,1,1,1
0,0.703866,1,1,1
0,0.599086,1,1,1
0,-0.0081619999999999,1,0,0
0,0.415332,1,1,1
0,-0.244192,1,0,0
0,0.67226,1,1,1
1,-0.320972,1,0,0
0,0.864146,1,1,1
0,-0.580666,1,0,0
0,-0.454642,1,0,0
0,0.314456,1,1,1
0,0.865926,1,1,1
0,0.290386,1,1,1
0,-0.29979,1,0,0
0,-0.022784,1,0,0
0,-0.206342,1,0,0
0,0.316866,1,1,1
0,0.999312,1,1,1
0,-0.683114,1,0,0
0,-0.677534,1,0,0
0,0.522802,1,1,1
0,0.307582,1,1,1
0,-0.732686,1,0,0
0,0.310092,1,1,1
0,0.6945,1,1,1
0,0.709314,1,1,1
0,-0.19431,1,0,0
0,-0.797548,1,0,0
0,0.970006,1,1,1
0,0.760162,1,1,1
0,-0.217706,1,0,0
0,-0.385404,1,0,0
0,0.84011,1,1,1
1,0.98035,1,1,1
0,-0.96249,1,0,0
0,-0.659228,1,0,0
0,-0.108004,1,0,0
0,-0.428834,1,0,0
0,0.518958,1,1,1
0,0.365312,1,1,1
0,-0.399606,1,0,0
0,0.555896,1,1,1
0,0.668054,1,1,1
0,0.982106,1,1,1
0,0.37058,1,1,1
0,0.373514,1,1,1
0,0.0271220000000001,1,1,1
0,0.976206,1,1,1
0,0.657774,1,1,1
1,0.513982,1,1,1
0,0.825614,1,1,1
0,0.877426,1,1,1
0,0.366056,1,1,1
0,-0.670494,1,0,0
0,-0.622162,1,0,0
0,0.770382,1,1,1
1,-0.28371,1,0,0
0,0.879422,1,1,1
0,0.405934,1,1,1
0,0.356178,1,1,1
0,0.942838,1,1,1
0,-0.60546,1,0,0
0,0.0762919999999998,1,1,1
0,0.0338380000000001,1,1,1
0,-0.824932,1,0,0
0,0.743284,1,1,1
1,0.490796,1,1,1
0,0.86292,1,1,1
0,0.918544,1,1,1
0,0.52775,1,1,1
0,-0.170574,1,0,0
0,0.40306,1,1,1
1,-0.188762,1,0,0
0,0.854956,1,1,1
0,-0.508448,1,0,0
0,0.195186,1,1,1
0,0.442304,1,1,1
0,-0.51317,1,0,0
0,0.793332,1,1,1
0,-0.963318,1,0,0
0,0.451464,1,1,1
0,-0.792844,1,0,0
0,0.655346,1,1,1
0,0.267928,1,1,1
0,0.622196,1,1,1
0,-0.613518,1,0,0
0,0.0594959999999999,1,1,1
0,0.250546,1,1,1
0,-0.194362,1,0,0
1,0.584308,1,1,1
0,0.737818,1,1,1
1,0.872016,1,1,1
0,0.872016,1,1,1
1,0.0722880000000001,1,1,1
0,0.183512,1,1,1
0,0.970456,1,1,1
0,-0.341374,1,0,0
0,0.97886,1,1,1
1,0.182946,1,1,1
0,0.612694,1,1,1
0,-0.297674,1,0,0
1,-0.0031880000000001,1,0,0
1,0.633052,1,1,1
0,0.341404,1,1,1
1,-0.518458,1,0,0
0,0.257074,1,1,1
0,-0.805506,1,0,0
0,0.667478,1,1,1
0,0.91729,1,1,1
0,0.290686,1,1,1
1,0.810652,1,1,1
0,0.630824,1,1,1
0,-0.63752,1,0,0
0,0.407798,1,1,1
0,0.164954,1,1,1
0,-0.0538860000000001,1,0,0
1,0.379186,1,1,1
0,0.709158,1,1,1
0,0.647376,1,1,1
1,-0.088484,1,0,0
0,-0.126242,1,0,0
1,0.877222,1,1,1
0,-0.256446,1,0,0
0,-0.601046,1,0,0
0,0.771242,1,1,1
0,0.751014,1,1,1
0,0.506978,1,1,1
0,-0.734574,1,0,0
